City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Haines Junction,60.7522,-137.5108,19.63,93,100,5.48,CA,2021-01-07 01:55:55
130,Peachland,49.7665,-119.7357,37.0,85,88,4.7,CA,2021-01-07 01:55:56
131,Antofagasta,-23.65,-70.4,66.2,88,40,11.41,CL,2021-01-07 01:55:56
132,Zalantun,48.0,122.7167,-11.96,74,82,12.88,CN,2021-01-07 01:55:20
133,Toda Raisingh,26.0252,75.4849,52.81,69,0,4.85,IN,2021-01-07 01:55:56
134,Baykit,61.67,96.37,-11.4,85,96,5.64,RU,2021-01-07 01:55:56
135,Cascais,38.6979,-9.4215,45.0,58,100,15.19,PT,2021-01-07 01:55:57
136,Hasaki,35.7333,140.8333,52.0,27,75,21.92,JP,2021-01-07 01:55:57
137,Greymouth,-42.4667,171.2,63.1,87,100,3.85,NZ,2021-01-07 01:51:04
138,Devils Lake,48.1128,-98.8651,30.2,92,90,9.17,US,2021-01-07 01:55:57
139,Viedma,-40.8135,-62.9967,64.0,83,74,1.99,AR,2021-01-07 01:54:27
140,Petauke,-14.2426,31.3253,66.49,97,100,3.83,ZM,2021-01-07 01:55:58
141,Sept-Iles,50.2001,-66.3821,30.2,58,17,8.05,CA,2021-01-07 01:55:58
142,Port-Cartier,50.0334,-66.8654,30.2,58,8,8.05,CA,2021-01-07 01:55:58
143,Victoria,22.2855,114.1577,61.0,68,51,1.99,HK,2021-01-07 01:53:57
144,Qaanaaq,77.484,-69.3632,-15.92,77,1,2.39,GL,2021-01-07 01:55:59
145,Araguari,-18.6472,-48.1872,73.4,73,0,6.93,BR,2021-01-07 01:55:59
146,Kapoeta,4.7717,33.5903,79.34,32,69,7.52,SS,2021-01-07 01:56:00
147,Flinders,-34.5833,150.8552,71.01,78,39,4.0,AU,2021-01-07 01:51:48
148,Megion,61.0296,76.1136,-20.2,75,0,2.24,RU,2021-01-07 01:56:00
149,Nome,64.5011,-165.4064,8.6,71,90,3.36,US,2021-01-07 01:52:23
150,Codrington,-38.2667,141.9667,66.81,73,92,11.07,AU,2021-01-07 01:56:01
151,Buala,-8.145,159.5921,86.61,65,93,6.8,SB,2021-01-07 01:56:01
152,Cherskiy,68.75,161.3,-14.33,89,100,7.96,RU,2021-01-07 01:56:01
153,Seoul,37.5683,126.9778,6.8,50,1,6.93,KR,2021-01-07 01:55:21
154,Durban,-29.8579,31.0292,70.0,82,20,6.93,ZA,2021-01-07 01:56:02
155,Faanui,-16.4833,-151.75,81.52,71,7,10.42,PF,2021-01-07 01:56:02
156,Mount Gambier,-37.8333,140.7667,69.8,52,75,13.87,AU,2021-01-07 01:56:02
