City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Kendari,ID,77.05,moderate rain,-3.945,122.4989,Hotel Wixel
576,Bowen,AU,73.4,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
579,Noumea,NC,81.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
582,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
583,Vaijapur,IN,75.2,drizzle,19.9167,74.7333,HOTEL MATOSHRI
585,Puerto Escondido,MX,80.6,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
587,Kandrian,PG,78.53,overcast clouds,-6.2167,149.55,Kandrian Station
588,Constitucion,CL,63.5,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
589,Tual,ID,83.55,light rain,-5.6667,132.75,Grand Vilia Hotel
592,El Centro,US,70.0,clear sky,32.792,-115.56299999999999,Holiday Inn Express & Suites El Centro
593,Nha Trang,VN,75.2,light rain,12.25,109.1833,Hanoi Golden Hotel
594,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
596,Pittsburg,US,55.99,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
599,San Policarpo,PH,79.88,heavy intensity rain,12.1791,125.5072,JM Lodge
601,Kaeo,NZ,66.99,overcast clouds,-35.1,173.7833,Bushido Lodge
603,Nhulunbuy,AU,78.8,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
604,Dehloran,IR,54.91,clear sky,32.6941,47.2679,کافه گیم استورم
605,Goundam,ML,80.73,clear sky,16.4145,-3.6708,
606,Labuhan,ID,77.18,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
607,Peruibe,BR,81.34,light rain,-24.32,-46.9983,Hotel Pousada Xapuri
609,Flinders,AU,60.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
610,Nishihara,JP,51.8,broken clouds,26.1842,127.7558,Minshuku Agaihama
611,Parit Buntar,MY,80.6,few clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
612,Tarana,IN,64.02,few clouds,23.3333,76.0333,दिल्ली दरबार होटल
613,Namatanai,PG,79.12,overcast clouds,-3.6667,152.4333,Namatanai Hotel
614,Coquimbo,CL,64.4,scattered clouds,-29.9533,-71.3436,Hotel San Juan
615,Lebowakgomo,ZA,71.6,clear sky,-24.2,29.5,Chuene Resort
616,Akhaldaba,GE,57.2,clear sky,41.653999999999996,42.1516,Luka house
618,Digha,IN,72.75,clear sky,21.6833,87.55,Khoniker Atithi
620,Puerto Plata,DO,82.4,broken clouds,19.7934,-70.6884,Be Live Collection Marien
621,Marsh Harbour,BS,65.12,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
624,Waingapu,ID,80.1,heavy intensity rain,-9.6567,120.2641,Pondok Wisata Elim
628,Whitianga,NZ,64.99,clear sky,-36.8333,175.7,Beachside Resort Whitianga
629,Watsa,CD,70.16,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
636,West Bay,KY,79.0,few clouds,19.3667,-81.4167,Calypso Cove
638,Sawtell,AU,64.4,overcast clouds,-30.3833,153.1,Island Beach House Sawtell
640,Yokadouma,CM,74.95,clear sky,3.5167,15.05,Hôtel De Ville De Yokadouma
642,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
643,Argelia,CO,72.34,moderate rain,2.2556,-77.2488,Hotel San Fernando Argelia
644,Thanh Hoa,VN,51.57,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
647,Copiapo,CL,69.8,clear sky,-27.3667,-70.3333,Antay Casino Hotel
649,Itanagar,IN,60.22,few clouds,27.1,93.6167,OYO 45507 Hotel Moomsie
650,Marsala,IT,66.99,few clouds,37.7966,12.4352,Villa Favorita Hotel e Resort
651,Waipawa,NZ,63.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
652,Road Town,VG,82.4,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
653,Bubaque,GW,79.38,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
657,Sambava,MG,77.81,clear sky,-14.2667,50.1667,Melrose
661,Auki,SB,78.06,overcast clouds,-8.7676,160.7034,Auki Motel
662,Monrovia,LR,82.4,broken clouds,6.3005,-10.7969,Sunset Inn
665,Akyab,MM,70.54,clear sky,20.15,92.9,Hotel Memory
666,Sabang,ID,80.55,overcast clouds,5.8933,95.3214,Hotel Citra
669,Xuddur,SO,75.69,clear sky,4.1213,43.8894,Banjanay Hotel
671,Abu Dhabi,AE,64.4,clear sky,24.4667,54.3667,Beach Rotana
673,Sechura,PE,80.67,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
674,Waverley,ZA,80.01,clear sky,-25.7023,28.2591,Aves Indigo Guesthouse
679,Arlit,NE,79.43,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
681,Bitam,GA,74.44,clear sky,2.076,11.5007,Bénédicta hôtel
682,Amahai,ID,82.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
683,Matamoros,MX,66.2,clear sky,25.5333,-103.25,Quinta Belem
684,Darnah,LY,68.14,clear sky,32.766999999999996,22.6367,فندق الفردوس
686,Menongue,AO,63.84,overcast clouds,-14.6585,17.691,Ritz Lauca
692,Innisfail,AU,74.73,scattered clouds,-17.5333,146.0333,Moondarra Motel
698,Valparaiso,CL,71.6,clear sky,-33.0393,-71.6273,Hotel Ultramar
699,Antofagasta,CL,73.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
701,Ahipara,NZ,65.12,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
